Zeit;Kanal A
(ms);(mV)

-22,80349911;5,02583600
-22,79849911;5,77017700
-22,79349911;5,95657000
-22,78849911;4,28149600
-22,78349911;4,83944400
-22,77849911;5,21222900
-22,77349911;5,02583600
-22,76849911;4,28149600
-22,76349911;5,58439900
-22,75849911;7,07369500
-22,75349911;4,65366600
-22,74849911;6,70091000
-22,74349911;4,28149600
-22,73849911;5,58439900
-22,73349911;4,65366600
-22,72849911;5,21222900
-22,72349911;5,02583600
-22,71849911;5,58439900
-22,71349911;4,83944400
-22,70849911;6,70091000
-22,70349911;5,02583600
-22,69849911;5,21222900
-22,69349911;5,58439900
-22,68849911;6,51513300
-22,68349911;5,02583600
-22,67849911;5,95657000
-22,67349911;5,21222900
-22,66849911;5,58439900
-22,66349911;5,39800700
-22,65849911;5,77017700
-22,65349911;6,32874000
-22,64849911;5,21222900
-22,64349911;7,07369500
-22,63849911;4,83944400
-22,63349911;5,58439900
-22,62849911;4,83944400
-22,62349911;6,70091000
-22,61849911;4,83944400
-22,61349911;6,32874000
-22,60849911;4,65366600
-22,60349911;6,32874000
-22,59849911;5,02583600
-22,59349911;5,77017700
-22,58849911;5,39800700
-22,58349911;6,51513300
-22,57849911;4,83944400
-22,57349911;5,39800700
-22,56849911;4,65366600
-22,56349911;5,77017700
-22,55849911;6,70091000
-22,55349911;5,77017700
-22,54849911;6,51513300
-22,54349911;5,58439900
-22,53849911;5,95657000
-22,53349911;5,58439900
-22,52849911;5,58439900
-22,52349911;5,95657000
-22,51849911;7,07369500
-22,51349911;7,25947300
-22,50849911;7,44586600
-22,50349911;6,32874000
-22,49849912;6,14296200
-22,49349912;4,28149600
-22,48849912;6,70091000
-22,48349912;6,14296200
-22,47849912;6,14296200
-22,47349912;5,77017700
-22,46849912;5,77017700
-22,46349912;6,51513300
-22,45849912;5,39800700
-22,45349912;5,58439900
-22,44849912;5,95657000
-22,44349912;5,77017700
-22,43849912;5,58439900
-22,43349912;6,14296200
-22,42849912;5,77017700
-22,42349912;4,09510300
-22,41849912;5,21222900
-22,41349912;5,58439900
-22,40849912;4,28149600
-22,40349912;6,70091000
-22,39849912;4,83944400
-22,39349912;4,65366600
-22,38849912;4,09510300
-22,38349912;3,16437000
-22,37849912;4,65366600
-22,37349912;3,35014700
-22,36849912;4,28149600
-22,36349912;3,53654000
-22,35849912;4,83944400
-22,35349912;2,60580700
-22,34849912;3,72293300
-22,34349912;3,53654000
-22,33849912;3,90871000
-22,33349912;4,28149600
-22,32849912;4,65366600
-22,32349912;5,39800700
-22,31849912;2,60580700
-22,31349912;2,97797700
-22,30849912;2,79220000
-22,30349912;2,79220000
-22,29849912;3,90871000
-22,29349912;2,79220000
-22,28849912;2,79220000
-22,28349912;2,97797700
-22,27849912;2,23363700
-22,27349912;2,41941400
-22,26849912;2,04724400
-22,26349912;3,35014700
-22,25849912;2,97797700
-22,25349912;2,23363700
-22,24849912;3,16437000
-22,24349912;2,97797700
-22,23849912;2,04724400
-22,23349912;2,41941400
-22,22849912;3,53654000
-22,22349912;1,67507400
-22,21849912;2,41941400
-22,21349912;2,79220000
-22,20849912;2,79220000
-22,20349912;1,48868100
-22,19849912;2,41941400
-22,19349912;2,04724400
-22,18849912;2,79220000
-22,18349912;1,67507400
-22,17849912;1,30290300
-22,17349912;2,97797700
-22,16849912;2,23363700
-22,16349912;2,23363700
-22,15849912;2,23363700
-22,15349912;2,23363700
-22,14849912;1,11651100
-22,14349912;1,86146600
-22,13849912;1,86146600
-22,13349912;0,93073320
-22,12849912;1,11651100
-22,12349912;1,67507400
-22,11849912;2,04724400
-22,11349912;1,11651100
-22,10849912;2,04724400
-22,10349913;1,67507400
-22,09849913;2,04724400
-22,09349913;1,11651100
-22,08849913;2,04724400
-22,08349913;1,48868100
-22,07849913;0,00000000
-22,07349913;1,48868100
-22,06849913;0,74434050
-22,06349913;1,86146600
-22,05849913;1,86146600
-22,05349913;1,11651100
-22,04849913;1,30290300
-22,04349913;0,55794780
-22,03849913;1,86146600
-22,03349913;0,93073320
-22,02849913;1,86146600
-22,02349913;1,11651100
-22,01849913;0,55794780
-22,01349913;1,30290300
-22,00849913;0,18577760
-22,00349913;1,86146600
-21,99849913;1,30290300
-21,99349913;0,93073320
-21,98849913;1,11651100
-21,98349913;1,48868100
-21,97849913;1,67507400
-21,97349913;0,74434050
-21,96849913;0,93073320
-21,96349913;0,55794780
-21,95849913;0,00000000
-21,95349913;0,37217020
-21,94849913;0,55794780
-21,94349913;0,00000000
-21,93849913;0,55794780
-21,93349913;0,55794780
-21,92849913;0,93073320
-21,92349913;-0,37217020
-21,91849913;0,00000000
-21,91349913;2,04724400
-21,90849913;0,37217020
-21,90349913;1,11651100
-21,89849913;0,93073320
-21,89349913;1,48868100
-21,88849913;0,00000000
-21,88349913;1,11651100
-21,87849913;0,55794780
-21,87349913;1,48868100
-21,86849913;0,00000000
-21,86349913;0,55794780
-21,85849913;1,86146600
-21,85349913;-0,18577760
-21,84849913;0,55794780
-21,84349913;0,55794780
-21,83849913;0,55794780
-21,83349913;0,74434050
-21,82849913;0,18577760
-21,82349913;0,00000000
-21,81849913;0,37217020
-21,81349913;0,18577760
-21,80849913;0,00000000
-21,80349913;0,93073320
-21,79849913;0,37217020
-21,79349913;0,55794780
-21,78849913;0,74434050
-21,78349913;-0,74434050
-21,77849913;-0,74434050
-21,77349913;0,74434050
-21,76849913;0,37217020
-21,76349913;-0,37217020
-21,75849913;-0,93073320
-21,75349913;-0,74434050
-21,74849913;1,11651100
-21,74349913;-2,04724400
-21,73849913;-0,74434050
-21,73349913;-1,11651100
-21,72849913;-0,18577760
-21,72349913;-1,11651100
-21,71849913;0,55794780
-21,71349913;-0,93073320
-21,70849914;-1,30290300
-21,70349914;-0,37217020
