Zeit;Kanal A
(ms);(V)

14,09999964;1,18774600
14,14999964;1,16916800
14,19999964;1,16916800
14,24999964;1,18774600
14,29999964;1,18774600
14,34999964;1,18774600
14,39999964;1,16916800
14,44999963;1,18774600
14,49999963;1,16916800
14,54999963;1,18774600
14,59999963;1,16916800
14,64999963;1,16916800
14,69999963;1,18774600
14,74999963;1,18774600
14,79999963;1,18774600
14,84999962;1,18774600
14,89999962;1,18774600
14,94999962;1,18774600
14,99999962;1,16916800
15,04999962;1,18774600
15,09999962;1,18774600
15,14999962;1,18774600
15,19999962;1,16916800
15,24999961;1,18774600
15,29999961;1,18774600
15,34999961;1,18774600
15,39999961;1,18774600
15,44999961;1,16916800
15,49999961;1,16916800
15,54999961;1,16916800
15,59999961;1,18774600
15,64999960;1,18774600
15,69999960;1,16916800
15,74999960;1,16916800
15,79999960;1,18774600
15,84999960;1,18774600
15,89999960;1,18774600
15,94999960;1,18774600
15,99999960;1,16916800
16,04999959;1,16916800
16,09999959;1,18774600
16,14999959;1,18774600
16,19999959;1,18774600
16,24999959;1,18774600
16,29999959;1,18774600
16,34999959;1,16916800
16,39999959;1,18774600
16,44999958;1,18774600
16,49999958;1,18774600
16,54999958;1,16916800
16,59999958;1,16916800
16,64999958;1,16916800
16,69999958;1,16916800
16,74999958;1,16916800
16,79999958;1,18774600
16,84999957;1,16916800
16,89999957;1,16916800
16,94999957;1,18774600
16,99999957;1,18774600
17,04999957;1,18774600
17,09999957;1,16916800
17,14999957;1,18774600
17,19999957;1,18774600
17,24999956;1,18774600
17,29999956;1,18774600
17,34999956;1,18774600
17,39999956;1,18774600
17,44999956;1,16916800
17,49999956;1,16916800
17,54999956;1,16916800
17,59999956;1,16916800
17,64999955;1,16916800
17,69999955;1,16916800
17,74999955;1,18774600
17,79999955;1,18774600
17,84999955;1,16916800
17,89999955;1,16916800
17,94999955;1,16916800
17,99999955;1,16916800
18,04999954;1,16916800
18,09999954;1,18774600
18,14999954;1,16916800
18,19999954;1,16916800
18,24999954;1,18774600
18,29999954;1,18774600
18,34999954;1,16916800
18,39999954;1,16916800
18,44999953;1,15059100
18,49999953;1,16916800
18,54999953;1,18774600
18,59999953;1,16916800
18,64999953;1,18774600
18,69999953;1,16916800
18,74999953;1,18774600
18,79999953;1,16916800
18,84999952;1,18774600
18,89999952;1,18774600
18,94999952;1,18774600
18,99999952;1,16916800
19,04999952;1,16916800
19,09999952;1,18774600
19,14999952;1,18774600
19,19999951;1,16916800
19,24999951;1,18774600
19,29999951;1,18774600
19,34999951;1,18774600
19,39999951;1,18774600
19,44999951;1,16916800
19,49999951;1,16916800
19,54999951;1,16916800
19,59999950;1,16916800
19,64999950;1,16916800
19,69999950;1,18774600
19,74999950;1,16916800
19,79999950;1,16916800
19,84999950;1,18774600
19,89999950;1,18774600
19,94999950;1,18774600
19,99999949;1,18774600
20,04999949;1,16916800
20,09999949;1,16916800
20,14999949;1,18774600
20,19999949;1,18774600
20,24999949;1,16916800
20,29999949;1,18774600
20,34999949;1,16916800
20,39999948;1,16916800
20,44999948;1,18774600
20,49999948;1,16916800
20,54999948;1,16916800
20,59999948;1,18774600
20,64999948;1,18774600
20,69999948;1,18774600
20,74999948;1,16916800
20,79999947;1,18774600
20,84999947;1,16916800
20,89999947;1,18774600
20,94999947;1,16916800
20,99999947;1,16916800
21,04999947;1,18774600
21,09999947;1,18774600
21,14999947;1,18774600
21,19999946;1,18774600
21,24999946;1,18774600
21,29999946;1,18774600
21,34999946;1,16916800
21,39999946;1,16916800
21,44999946;1,16916800
21,49999946;1,18774600
21,54999946;1,16916800
21,59999945;1,16916800
21,64999945;1,18774600
21,69999945;1,16916800
21,74999945;1,18774600
21,79999945;1,16916800
21,84999945;1,16916800
21,89999945;1,18774600
21,94999945;1,18774600
21,99999944;1,18774600
22,04999944;1,18774600
22,09999944;1,16916800
22,14999944;1,18774600
22,19999944;1,18774600
22,24999944;1,18774600
22,29999944;1,18774600
22,34999944;1,18774600
22,39999943;1,16916800
22,44999943;1,16916800
22,49999943;1,16916800
22,54999943;1,18774600
22,59999943;1,16916800
22,64999943;1,16916800
22,69999943;1,16916800
22,74999943;1,16916800
22,79999942;1,16916800
22,84999942;1,16916800
22,89999942;1,16916800
22,94999942;1,18774600
22,99999942;1,16916800
23,04999942;1,16916800
23,09999942;1,18774600
23,14999942;1,18774600
23,19999941;1,18774600
23,24999941;1,18774600
23,29999941;1,18774600
23,34999941;1,16916800
23,39999941;1,16916800
23,44999941;1,16916800
23,49999941;1,18774600
23,54999941;1,16916800
23,59999940;1,16916800
23,64999940;1,16916800
23,69999940;1,16916800
23,74999940;1,16916800
23,79999940;1,16916800
23,84999940;1,16916800
23,89999940;1,18774600
23,94999939;1,18774600
23,99999939;1,18774600
24,04999939;1,16916800
24,09999939;1,16916800
24,14999939;1,18774600
24,19999939;1,16916800
24,24999939;1,18774600
24,29999939;1,18774600
24,34999938;1,16916800
24,39999938;1,16916800
24,44999938;1,16916800
24,49999938;1,16916800
24,54999938;1,16916800
24,59999938;1,18774600
24,64999938;1,16916800
24,69999938;1,18774600
24,74999937;1,18774600
24,79999937;1,16916800
24,84999937;1,18774600
24,89999937;1,18774600
24,94999937;1,16916800
24,99999937;1,16916800
25,04999937;1,16916800
25,09999937;1,18774600
25,14999936;1,18774600
25,19999936;1,16916800
25,24999936;1,18774600
25,29999936;1,18774600
25,34999936;1,16916800
25,39999936;1,16916800
25,44999936;1,16916800
25,49999936;1,16916800
25,54999935;1,18774600
25,59999935;1,18774600
25,64999935;1,16916800
25,69999935;1,16916800
25,74999935;1,18774600
25,79999935;1,16916800
25,84999935;1,18774600
25,89999935;1,18774600
25,94999934;1,18774600
25,99999934;1,18774600
26,04999934;1,16916800
26,09999934;1,18774600
26,14999934;1,18774600
26,19999934;1,18774600
26,24999934;1,18774600
26,29999934;1,16916800
26,34999933;1,18774600
26,39999933;1,18774600
26,44999933;1,16916800
26,49999933;1,15059100
26,54999933;1,16916800
26,59999933;1,16916800
26,64999933;1,18774600
26,69999933;1,16916800
26,74999932;1,16916800
26,79999932;1,16916800
26,84999932;1,16916800
26,89999932;1,16916800
26,94999932;1,16916800
26,99999932;1,18774600
27,04999932;1,18774600
27,09999932;1,18774600
27,14999931;1,18774600
27,19999931;1,18774600
27,24999931;1,16916800
27,29999931;1,16916800
27,34999931;1,18774600
27,39999931;1,18774600
27,44999931;1,16916800
27,49999931;1,18774600
27,54999930;1,16916800
27,59999930;1,18774600
27,64999930;1,16916800
27,69999930;1,16916800
27,74999930;1,18774600
27,79999930;1,18774600
27,84999930;1,18774600
27,89999930;1,18774600
27,94999929;1,18774600
27,99999929;1,18774600
28,04999929;1,16916800
28,09999929;1,18774600
28,14999929;1,18774600
28,19999929;1,18774600
28,24999929;1,16916800
28,29999929;1,18774600
28,34999928;1,18774600
28,39999928;1,18774600
28,44999928;1,18774600
28,49999928;1,18774600
28,54999928;1,16916800
28,59999928;1,18774600
28,64999928;1,18774600
28,69999927;1,18774600
28,74999927;1,18774600
28,79999927;1,18774600
28,84999927;1,18774600
28,89999927;1,18774600
28,94999927;1,18774600
28,99999927;1,18774600
29,04999927;1,18774600
29,09999926;1,16916800
29,14999926;1,18774600
29,19999926;1,18774600
29,24999926;1,18774600
29,29999926;1,16916800
29,34999926;1,18774600
29,39999926;1,16916800
29,44999926;1,18774600
29,49999925;1,18774600
29,54999925;1,16916800
29,59999925;1,18774600
29,64999925;1,16916800
29,69999925;1,18774600
29,74999925;1,18774600
29,79999925;1,18774600
29,84999925;1,18774600
29,89999924;1,18774600
29,94999924;1,16916800
29,99999924;1,18774600
30,04999924;1,18774600
30,09999924;1,18774600
30,14999924;1,18774600
30,19999924;1,20626200
30,24999924;1,18774600
30,29999923;1,18774600
30,34999923;1,18774600
30,39999923;1,18774600
30,44999923;1,18774600
30,49999923;1,16916800
30,54999923;1,16916800
30,59999923;1,18774600
30,64999923;1,18774600
30,69999922;1,18774600
30,74999922;1,18774600
30,79999922;1,18774600
30,84999922;1,16916800
30,89999922;1,18774600
30,94999922;1,18774600
30,99999922;1,18774600
31,04999922;1,18774600
31,09999921;1,18774600
31,14999921;1,16916800
31,19999921;1,18774600
31,24999921;1,18774600
31,29999921;1,18774600
31,34999921;1,18774600
31,39999921;1,18774600
31,44999921;1,18774600
31,49999920;1,18774600
31,54999920;1,18774600
31,59999920;1,18774600
31,64999920;1,20626200
31,69999920;1,18774600
31,74999920;1,18774600
31,79999920;1,18774600
31,84999920;1,18774600
31,89999919;1,18774600
31,94999919;1,18774600
31,99999919;1,16916800
32,04999919;1,18774600
32,09999919;1,18774600
32,14999919;1,18774600
32,19999919;1,18774600
32,24999919;1,18774600
32,29999918;1,18774600
32,34999918;1,18774600
32,39999918;1,18774600
32,44999918;1,18774600
32,49999918;1,18774600
32,54999918;1,18774600
32,59999918;1,16916800
32,64999918;1,18774600
32,69999917;1,18774600
32,74999917;1,18774600
32,79999917;1,18774600
32,84999917;1,16916800
32,89999917;1,18774600
32,94999917;1,18774600
32,99999917;1,18774600
33,04999917;1,18774600
33,09999916;1,18774600
33,14999916;1,18774600
33,19999916;1,18774600
33,24999916;1,18774600
33,29999916;1,18774600
33,34999916;1,16916800
33,39999916;1,18774600
33,44999915;1,18774600
33,49999915;1,18774600
33,54999915;1,18774600
33,59999915;1,18774600
33,64999915;1,18774600
33,69999915;1,16916800
33,74999915;1,18774600
33,79999915;1,18774600
33,84999914;1,18774600
33,89999914;1,18774600
33,94999914;1,18774600
33,99999914;1,18774600
34,04999914;1,18774600
34,09999914;1,18774600
34,14999914;1,18774600
34,19999914;1,18774600
34,24999913;1,18774600
34,29999913;1,18774600
34,34999913;1,18774600
34,39999913;1,18774600
34,44999913;1,18774600
34,49999913;1,18774600
34,54999913;1,18774600
34,59999913;1,18774600
34,64999912;1,18774600
34,69999912;1,18774600
34,74999912;1,18774600
34,79999912;1,18774600
34,84999912;1,18774600
34,89999912;1,18774600
34,94999912;1,18774600
34,99999912;1,18774600
35,04999911;1,18774600
35,09999911;1,18774600
35,14999911;1,18774600
35,19999911;1,18774600
35,24999911;1,18774600
35,29999911;1,18774600
35,34999911;1,16916800
35,39999911;1,16916800
35,44999910;1,24341800
35,49999910;1,18774600
35,54999910;1,18774600
35,59999910;1,18774600
35,64999910;1,18774600
35,69999910;1,18774600
35,74999910;1,18774600
35,79999910;1,16916800
35,84999909;1,18774600
35,89999909;1,18774600
35,94999909;1,18774600
35,99999909;1,20626200
36,04999909;1,16916800
36,09999909;1,18774600
36,14999909;1,18774600
36,19999909;1,18774600
36,24999908;1,18774600
36,29999908;1,18774600
36,34999908;1,18774600
36,39999908;1,16916800
36,44999908;1,18774600
36,49999908;1,16916800
36,54999908;1,18774600
36,59999908;1,16916800
36,64999907;1,16916800
36,69999907;1,18774600
36,74999907;1,16916800
36,79999907;1,16916800
36,84999907;1,18774600
36,89999907;1,18774600
36,94999907;1,18774600
36,99999907;1,18774600
37,04999906;1,18774600
37,09999906;1,18774600
37,14999906;1,18774600
37,19999906;1,16916800
37,24999906;1,16916800
37,29999906;1,16916800
37,34999906;1,16916800
37,39999906;1,18774600
37,44999905;1,16916800
37,49999905;1,16916800
37,54999905;1,18774600
37,59999905;1,16916800
37,64999905;1,16916800
37,69999905;1,18774600
37,74999905;1,18774600
37,79999905;1,16916800
37,84999904;1,18774600
37,89999904;1,16916800
37,94999904;1,18774600
37,99999904;1,18774600
38,04999904;1,18774600
38,09999904;1,16916800
38,14999904;1,20626200
38,19999903;1,18774600
38,24999903;1,18774600
38,29999903;1,18774600
38,34999903;1,16916800
38,39999903;1,18774600
38,44999903;1,16916800
38,49999903;1,16916800
38,54999903;1,18774600
38,59999902;1,18774600
38,64999902;1,18774600
38,69999902;1,18774600
38,74999902;1,18774600
38,79999902;1,18774600
38,84999902;1,18774600
38,89999902;1,16916800
38,94999902;1,18774600
38,99999901;1,18774600
39,04999901;1,18774600
39,09999901;1,18774600
39,14999901;1,18774600
39,19999901;1,18774600
39,24999901;1,16916800
39,29999901;1,16916800
39,34999901;1,16916800
39,39999900;1,16916800
39,44999900;1,18774600
39,49999900;1,18774600
39,54999900;1,18774600
39,59999900;1,16916800
39,64999900;1,16916800
39,69999900;1,18774600
39,74999900;1,18774600
39,79999899;1,18774600
39,84999899;1,18774600
39,89999899;1,18774600
39,94999899;1,20626200
39,99999899;1,16916800
40,04999899;1,18774600
40,09999899;1,18774600
40,14999899;1,18774600
40,19999898;1,16916800
40,24999898;1,16916800
40,29999898;1,18774600
40,34999898;1,16916800
40,39999898;1,16916800
40,44999898;1,18774600
40,49999898;1,16916800
40,54999898;1,16916800
40,59999897;1,18774600
40,64999897;1,18774600
40,69999897;1,18774600
40,74999897;1,18774600
40,79999897;1,18774600
40,84999897;1,16916800
40,89999897;1,16916800
40,94999897;1,16916800
40,99999896;1,18774600
41,04999896;1,18774600
41,09999896;1,18774600
41,14999896;1,16916800
41,19999896;1,16916800
